Name,Team,Batting,Base Running,Fielding,Positional,Offense,Defense,League,Replacement,RAR,WAR,Dollars,NameASCII,PlayerId,MLBAMID
"Hideki Matsui","- - -",120.27334382838174,-1.3838843436678872,-79.35697495937347,-79.13407397270203,118.88945948471385,-158.4910489320755,19.842816901626065,154.1834586188197,134.42468607308413,13.282681936525371,73.03325024402436,"Hideki Matsui",1659,425686
"Seth Smith","- - -",55.290890563384664,-3.851206908468157,-5.06131649017334,-50.210321818478405,51.43968365491651,-55.271638308651745,10.180755043926183,120.4839302226901,126.83273061288105,13.260281088239653,96.39061950256351,"Seth Smith",7331,452234
"Cody Ross","- - -",16.00105486163876,7.648673502961174,7.332044452428818,-21.104821350425482,23.649728364599934,-13.772776897996664,6.674266179266851,113.5384586788714,130.0896763247415,13.224292076576681,85.35192977086491,"Cody Ross",1760,425496
"Kyle Schwarber","- - -",84.93608442652742,-2.718026347225532,-37.718019627034664,-41.87928229942918,82.21805807930188,-79.59730192646384,10.484031828935258,116.80816310271621,129.91295108448952,13.220942497569755,105.76753998055804,"Kyle Schwarber",16478,656941
"Ian Happ","CHC",50.78073961026488,1.4900369443930686,-5.077549159526825,-16.64094476401806,52.27077655465795,-21.718493923544884,9.527290183119476,91.13688786514103,131.21646067937357,13.217076938417994,105.73661550734396,"Ian Happ",17919,664023
"Nick Castellanos","- - -",82.41564388642281,-17.239548219600692,-91.27886319160461,-31.519195824861526,65.17609566682212,-122.79805901646614,19.967453434248455,168.5338841639459,130.87937424855033,13.136878633491216,104.52178332830847,"Nick Castellanos",11737,592206
"Joe Crede","- - -",-40.81593780233818,-4.573623334872536,49.59047430753708,12.11018579825759,-45.38956113721072,61.70066010579467,12.149823371320963,104.15962172299623,132.62054406290116,13.060364754810632,62.94036130023295,"Joe Crede",227,150317
"Mark Whiten","- - -",8.96057696140173,-1.3324342376436107,43,-36.49576064385474,7.628142723758119,6.504239356145263,10.99580373504432,106.8348574526608,131.9630432676085,13.055197246365086,,"Mark Whiten",1013886,124207
"Brandon Lowe","TBR",61.68327799665337,16.356245642295107,-11.636185593903065,0.9825086444616318,78.03952363894848,-10.653676949441433,4.0686140838079154,59.36468364112079,130.81914441443575,13.027605969107457,104.22084775285965,"Brandon Lowe",18882,664040
"Odúbel Herrera","PHI",-4.057577811752884,8.93390586017631,10.393280863761902,9.015765368938446,4.876328048423426,19.409046232700348,6.01967927115038,96.37672209739685,126.68177564967101,13.022899671076342,104.18319736861073,"Odubel Herrera",11476,546318
"Derek Bell","- - -",4.64486808004453,11.693077779811574,-16,-32.640486374497414,16.337945859856106,-48.640486374497414,8.311061810236424,158.50708505883813,134.51560635443326,13.017064114795286,,"Derek Bell",1000801,110818
"Will Venable","- - -",2.754767398982138,29.52257427247241,13.413932740688324,-17.58001983165741,32.27734167145455,-4.166087090969086,4.039616977388505,92.00410032644868,124.15497188432266,13.002716110335964,91.66708192485369,"Will Venable",211,461416
"Christian Vázquez","- - -",-60.444284263068994,-33.047478853026405,76.27319502830505,48.79858160018921,-93.4917631160954,125.07177662849426,7.733377152355388,89.24933728016913,128.56272794492338,12.980616158857416,103.48591936786805,"Christian Vazquez",9774,543877
