last_name, first_name,player_id,name_abbrev,team_id,position_name,age,bat_side,seconds_since_hit_000,seconds_since_hit_005,seconds_since_hit_010,seconds_since_hit_015,seconds_since_hit_020,seconds_since_hit_025,seconds_since_hit_030,seconds_since_hit_035,seconds_since_hit_040,seconds_since_hit_045,seconds_since_hit_050,seconds_since_hit_055,seconds_since_hit_060,seconds_since_hit_065,seconds_since_hit_070,seconds_since_hit_075,seconds_since_hit_080,seconds_since_hit_085,seconds_since_hit_090
Brosseau, Mike,670712,MIL,158,3B,29,R,0.00,0.57,0.89,1.16,1.40,1.62,1.84,2.04,2.24,2.44,2.63,2.81,3.00,3.18,3.36,3.54,3.72,3.90,4.09
Brown, Seth,664913,OAK,133,RF,30,L,0.00,0.54,0.84,1.10,1.33,1.55,1.76,1.96,2.15,2.35,2.53,2.71,2.89,3.07,3.25,3.43,3.61,3.80,4.00
Bryant, Kris,592178,COL,115,RF,31,R,0.00,0.57,0.90,1.18,1.44,1.67,1.89,2.10,2.31,2.51,2.71,2.90,3.09,3.27,3.46,3.65,3.83,4.02,4.22
Burger, Jake,669394,MIA,146,3B,27,R,0.00,0.56,0.90,1.18,1.42,1.65,1.86,2.06,2.26,2.45,2.63,2.81,2.99,3.17,3.34,3.52,3.69,3.87,4.04
Burleson, Alec,676475,STL,138,LF,24,L,0.00,0.56,0.88,1.16,1.41,1.65,1.87,2.08,2.29,2.49,2.69,2.88,3.08,3.26,3.45,3.64,3.83,4.03,4.23
Busch, Michael,683737,LAD,119,3B,25,L,0.00,0.54,0.84,1.10,1.33,1.55,1.76,1.97,2.16,2.35,2.54,2.72,2.91,3.09,3.27,3.44,3.62,3.80,3.99
Buxton, Byron,621439,MIN,142,DH,29,R,0.00,0.56,0.86,1.11,1.35,1.55,1.76,1.94,2.13,2.31,2.49,2.66,2.83,3.00,3.16,3.33,3.49,3.66,3.83
Báez, Javier,595879,DET,116,SS,30,R,0.00,0.57,0.89,1.16,1.40,1.62,1.83,2.03,2.23,2.42,2.61,2.79,2.96,3.14,3.32,3.49,3.66,3.84,4.03
Caballero, José,676609,SEA,136,2B,26,R,0.00,0.54,0.85,1.11,1.34,1.55,1.76,1.95,2.14,2.32,2.50,2.67,2.85,3.02,3.19,3.36,3.52,3.69,3.86
Cabrera, Miguel,408234,DET,116,DH,40,R,0.00,0.59,0.95,1.25,1.53,1.78,2.02,2.25,2.47,2.69,2.90,3.11,3.31,3.51,3.72,3.91,4.11,4.32,4.53
Cabrera, Oswaldo,665828,NYY,147,LF,24,L,0.00,0.55,0.85,1.10,1.34,1.55,1.76,1.96,2.15,2.34,2.52,2.71,2.88,3.06,3.23,3.40,3.58,3.76,3.95
Cabrera, Oswaldo,665828,NYY,147,LF,24,R,0.00,0.56,0.88,1.14,1.38,1.60,1.81,2.01,2.21,2.40,2.58,2.77,2.95,3.12,3.30,3.47,3.64,3.81,3.99
Calhoun, Willie,641432,NYY,147,DH,28,L,0.00,0.54,0.86,1.14,1.40,1.63,1.86,2.07,2.28,2.48,2.69,2.88,3.08,3.27,3.46,3.66,3.86,4.07,4.29
Call, Alex,669743,WSH,120,CF,28,R,0.00,0.56,0.88,1.14,1.38,1.60,1.81,2.01,2.21,2.39,2.58,2.76,2.94,3.11,3.28,3.45,3.62,3.79,3.97
Campusano, Luis,669134,SD,135,C,24,R,0.00,0.54,0.87,1.16,1.41,1.65,1.87,2.09,2.29,2.49,2.69,2.89,3.08,3.27,3.46,3.64,3.83,4.03,4.23
Candelario, Jeimer,600869,CHC,112,3B,29,L,0.00,0.54,0.85,1.12,1.36,1.59,1.80,2.01,2.20,2.39,2.58,2.77,2.95,3.13,3.31,3.48,3.66,3.84,4.04
Candelario, Jeimer,600869,CHC,112,3B,29,R,0.00,0.58,0.92,1.19,1.44,1.67,1.89,2.09,2.30,2.49,2.68,2.87,3.05,3.23,3.41,3.59,3.76,3.94,4.12
Canha, Mark,592192,MIL,158,LF,34,R,0.00,0.56,0.88,1.15,1.39,1.61,1.82,2.03,2.22,2.41,2.60,2.79,2.97,3.15,3.33,3.50,3.68,3.85,4.04
Canzone, Dominic,686527,SEA,136,DH,25,L,0.00,0.56,0.87,1.14,1.38,1.60,1.81,2.01,2.20,2.39,2.57,2.75,2.93,3.12,3.29,3.47,3.66,3.84,4.04
Caratini, Victor,605170,MIL,158,C,29,L,0.00,0.54,0.86,1.14,1.39,1.63,1.85,2.07,2.28,2.49,2.68,2.88,3.08,3.27,3.47,3.67,3.88,4.10,4.34
Carlson, Dylan,666185,STL,138,CF,24,L,0.00,0.55,0.86,1.12,1.36,1.58,1.79,1.99,2.19,2.38,2.56,2.74,2.92,3.10,3.28,3.45,3.62,3.80,4.00
Carlson, Dylan,666185,STL,138,CF,24,R,0.00,0.58,0.89,1.17,1.41,1.64,1.85,2.05,2.25,2.44,2.63,2.81,2.99,3.17,3.35,3.53,3.70,3.88,4.07
Carpenter, Kerry,681481,DET,116,RF,25,L,0.00,0.55,0.85,1.11,1.34,1.56,1.76,1.96,2.15,2.34,2.52,2.70,2.88,3.05,3.22,3.40,3.57,3.75,3.94
Carpenter, Matt,572761,SD,135,DH,37,L,0.00,0.57,0.89,1.17,1.42,1.65,1.87,2.09,2.30,2.50,2.69,2.89,3.08,3.27,3.47,3.66,3.86,4.07,4.31
Carroll, Corbin,682998,AZ,109,LF,22,L,0.00,0.52,0.80,1.04,1.26,1.47,1.66,1.84,2.02,2.20,2.37,2.54,2.70,2.87,3.03,3.19,3.35,3.52,3.69
Casas, Triston,671213,BOS,111,1B,23,L,0.00,0.54,0.86,1.14,1.39,1.62,1.85,2.06,2.27,2.47,2.67,2.87,3.07,3.26,3.46,3.65,3.85,4.05,4.26
Castellanos, Nick,592206,PHI,143,RF,31,R,0.00,0.56,0.88,1.15,1.40,1.63,1.85,2.05,2.25,2.45,2.64,2.83,3.01,3.19,3.38,3.55,3.74,3.92,4.11
Castro, Harold,605612,COL,115,2B,29,L,0.00,0.54,0.86,1.12,1.36,1.59,1.80,2.00,2.20,2.39,2.58,2.77,2.95,3.13,3.31,3.50,3.69,3.90,4.12
Castro, Rodolfo,666801,PHI,143,SS,24,L,0.00,0.52,0.83,1.09,1.33,1.56,1.76,1.97,2.16,2.36,2.54,2.73,2.91,3.09,3.27,3.45,3.63,3.81,4.01
Castro, Rodolfo,666801,PHI,143,SS,24,R,0.00,0.56,0.89,1.16,1.41,1.64,1.85,2.06,2.25,2.45,2.63,2.82,3.00,3.18,3.36,3.53,3.71,3.89,4.08
Castro, Willi,650489,MIN,142,LF,26,L,0.00,0.54,0.84,1.10,1.33,1.54,1.75,1.94,2.13,2.31,2.49,2.67,2.84,3.02,3.19,3.36,3.54,3.71,3.89
Castro, Willi,650489,MIN,142,LF,26,R,0.00,0.57,0.89,1.15,1.39,1.60,1.81,2.01,2.20,2.38,2.56,2.74,2.92,3.09,3.26,3.43,3.60,3.77,3.94
Cave, Jake,595909,PHI,143,LF,30,L,0.00,0.53,0.83,1.08,1.32,1.54,1.75,1.94,2.14,2.33,2.51,2.70,2.88,3.06,3.24,3.42,3.60,3.78,3.97
Chang, Yu,644374,BOS,111,SS,27,R,0.00,0.56,0.87,1.14,1.38,1.60,1.81,2.01,2.20,2.39,2.57,2.75,2.93,3.11,3.29,3.46,3.63,3.81,3.99
Chapman, Matt,656305,TOR,141,3B,30,R,0.00,0.55,0.87,1.14,1.37,1.59,1.80,2.00,2.19,2.38,2.56,2.74,2.92,3.09,3.26,3.43,3.60,3.78,3.95
Chavis, Michael,656308,WSH,120,2B,27,R,0.00,0.56,0.87,1.13,1.36,1.58,1.79,1.99,2.18,2.37,2.55,2.73,2.91,3.08,3.25,3.43,3.60,3.77,3.94
Chisholm Jr., Jazz,665862,MIA,146,CF,25,L,0.00,0.54,0.83,1.08,1.31,1.52,1.72,1.92,2.11,2.29,2.47,2.64,2.81,2.98,3.15,3.32,3.49,3.67,3.87
