Name,woba_Correctness,SLG_Correctness,BABIP_Correctness,wRC+_Correctness
LaMonte Wade Jr.,Correct :),Correct :),Correct :),Correct :)
Kris Bryant,Correct :),Correct :),Correct :),Correct :)
Adam Frazier,Correct :),Correct :),Correct :),Correct :)
Michael Conforto,Correct :),Correct :),Correct :),Correct :)
Joey Meneses,Correct :),Correct :),Correct :),Correct :)
Luis Robert,Correct :),Correct :),Correct :),Correct :)
Ketel Marte,Correct :),Correct :),Correct :),Correct :)
Cal Raleigh,Correct :),Correct :),Correct :),Correct :)
William Contreras,Correct :),Correct :),Correct :),Correct :)
Isiah Kiner-Falefa,Correct :),Correct :),Correct :),Correct :)
Seiya Suzuki,Correct :),Correct :),Correct :),Correct :)
Miguel Rojas,Correct :),Correct :),Correct :),Correct :)
Bo Bichette,Correct :),Correct :),Correct :),Correct :)
Jose Ramirez,Correct :),Correct :),Correct :),Correct :)
Amed Rosario,Correct :),Correct :),Correct :),Correct :)
Wilmer Flores,Correct :),Correct :),Correct :),Correct :)
Kyle Farmer,Correct :),Correct :),Correct :),Correct :)
Zach McKinstry,Correct :),Correct :),Correct :),Correct :)
Jeff McNeil,Correct :),Correct :),Correct :),Correct :)
Jake Burger,Correct :),Wrong :(,Correct :),Wrong :(
Jason Heyward,Correct :),Correct :),Correct :),Correct :)
Joey Wendle,Wrong :(,Wrong :(,Correct :),Wrong :(
Jake Meyers,Correct :),Correct :),Wrong :(,Correct :)
Thairo Estrada,Wrong :(,Wrong :(,Wrong :(,Wrong :(
Bryan De La Cruz,Wrong :(,Correct :),Correct :),Wrong :(
Bobby Witt Jr.,Wrong :(,Wrong :(,Wrong :(,Wrong :(
Will Smith,Correct :),Correct :),Wrong :(,Correct :)
Robbie Grossman,Correct :),Correct :),Wrong :(,Correct :)
DJ LeMahieu,Correct :),Correct :),Correct :),Correct :)
Tommy Edman,Correct :),Correct :),Correct :),Correct :)
Rodolfo Castro,Wrong :(,Wrong :(,Correct :),Wrong :(
Jarred Kelenic,Correct :),Correct :),Correct :),Correct :)
