bat_side,IDfg,Name,zscore_difference_woba,zscore_difference_slg,zscore_difference_babip,zscore_difference_wrc
L,16478,Kyle Schwarber,-1.122177201,-1.433377024,-2.238457421,-1.037212668
R,16505,Matt Chapman,0.126841293,-0.137367654,1.640116308,0.054652845
R,16512,Isiah Kiner-Falefa,0.64429602,0.632966495,-0.358002786,0.904486766
R,16530,Mauricio Dubon,1.077513318,0.676432913,1.319567419,1.12633388
R,16535,Danny Jansen,-0.024389896,0.084029783,-0.218111581,0.08160352
S,16556,Ozzie Albies,0.640952112,0.751879525,-0.725591685,0.727688275
R,16572,Connor Joe,0.020771454,0.499901088,0.425016915,0.671423632
R,16578,Yandy Diaz,1.41155589,1.247082081,1.95090054,1.427590283
S,16930,Jonah Heim,1.744536897,1.351587788,2.106517324,1.70580468
R,16939,Lane Thomas,0.841976656,1.144147403,1.757259139,0.794022511
R,16997,Gleyber Torres,-0.007034689,-0.198743849,-0.783607071,0.053187137
R,17022,Edmundo Sosa,0.439075918,0.995518283,-0.265554934,0.241285024
L,17027,Alex Verdugo,0.082243789,-0.018227575,-0.302569931,0.078233228
R,17128,Ramon Laureano,-1.466886478,-1.458294046,-0.685891172,-1.471558357
L,17232,Yoan Moncada,-1.752294278,-1.25929506,-0.974452907,-1.697102301
R,17273,Jorge Mateo,-0.56425308,-0.291697609,-1.53466586,-0.598283336
S,17338,Willi Castro,0.964138727,0.378774675,0.899051844,0.928955427
L,17350,Rafael Devers,-0.456236596,-0.364159608,-1.290380251,-0.408706454
R,17452,Jose Siri,1.88286373,2.895487858,-1.073234309,1.855636701
R,17484,Eloy Jimenez,-0.495887868,-0.574301024,-0.067203943,-0.500054305
R,17548,Taylor Ward,-0.567939167,-0.4750407,-0.922959424,-0.675692083
R,17620,Myles Straw,-0.136884716,0.17832331,0.018287401,-0.151533535
R,17678,Alex Bregman,-0.863543373,-0.907509049,-0.268947409,-0.871313062
R,17696,Kevin Newman,0.084599355,0.008006122,-0.537419914,-0.123757209
L,17901,Andrew Benintendi,-0.740932879,-0.821119021,-0.434129082,-0.55736922
S,17919,Ian Happ,-0.320118097,-1.162276519,-0.218519508,-0.239370005
L,17929,Cedric Mullins II,-0.470759501,-0.37687118,-0.586412314,-0.499538635
R,17982,Ty France,-0.2126923,-0.597689541,-0.14544056,-0.158581799
R,17988,Tyler Stephenson,-1.636877252,-1.381741372,-1.687305173,-1.666202686
R,18015,Paul DeJong,0.108518775,0.251852228,1.339848506,0.179899911
R,18030,Harrison Bader,-0.184905422,0.055784444,-0.291910312,-0.121796449
L,18036,Jake Cronenworth,-0.81728821,-0.615302564,-0.358170859,-0.848955927
L,18126,LaMonte Wade Jr.,0.883847659,-0.011916128,1.208068925,0.828717294
L,18171,Seth Brown,-0.629341031,-0.88161271,0.449997663,-0.738137801
R,18289,Brian Anderson,-0.456795055,-0.34132358,-0.02556243,-0.514302429
R,18314,Dansby Swanson,0.323316678,0.030411722,-0.465816896,0.497109737
L,18345,Kyle Tucker,0.21239355,-0.000253788,0.305455401,0.145516913
R,18360,Austin Riley,-0.075087677,-0.175889665,-0.405294856,-0.018195005
R,18373,Ryan Mountcastle,0.337852155,0.336409589,0.40805498,0.3379377
R,18401,Ronald Acuna Jr.,1.26561542,0.838865611,0.399771041,1.310531745
L,18564,Trent Grisham,0.146708456,-0.088295026,0.350152227,0.292510857
L,18568,Luis Arraez,0.647206516,0.779928704,0.725113677,0.567954875
R,18577,Ke'Bryan Hayes,0.433889141,1.187374738,-0.373125415,0.399572456
R,18795,Ramon Urias,-0.512898212,-0.330638087,0.208533423,-0.521588788
R,18819,Andy Ibanez,-0.627892023,-0.079017976,-0.510006691,-0.492181646
L,18839,Josh Naylor,1.243920918,1.337513485,1.033406763,1.290325808
L,18882,Brandon Lowe,-0.518879247,-0.702458414,-1.315267478,-0.508085031
S,18900,Leody Taveras,1.835087536,1.767493854,0.728534019,1.807388083
R,19197,Will Smith,-0.131017585,-0.757849465,0.551034985,-0.088951227
R,19198,Yuli Gurriel,-1.191388259,-1.260960274,-0.37434617,-1.197942948
R,19238,Lourdes Gurriel Jr.,-0.361442003,-0.083194205,-1.513038831,-0.464990421
R,19251,Pete Alonso,-0.496779898,-0.316760271,-2.124148794,-0.476677562
L,19260,Jake Fraley,0.340791164,0.834505904,0.146953452,-0.055019016
R,19287,Adolis Garcia,1.075759825,0.781664593,-0.589869025,1.00590627
R,19290,Randy Arozarena,0.258181414,-0.215654889,-0.956466882,0.157408123
R,19293,Nick Senzel,-0.010952567,0.211802764,-1.373193943,0.099057831
L,19318,Matt Thaiss,0.089157066,-1.074949429,0.518272066,0.35588112
S,19326,Bryan Reynolds,-0.911558013,-0.483921666,-1.339793293,-0.846670172
R,19352,Sean Murphy,1.984759389,1.719220771,1.032708145,1.402004875
R,19363,Austin Hays,0.398746585,0.308327964,1.627030277,0.398522824
,19392,Zach McKinstry,0.531744515,-0.283294198,0.929511849,0.630362372
S,19470,Tommy Edman,-0.523479623,-0.216832087,-1.546659839,-0.456187712
L,19522,T.J. Friedl,0.55263842,0.199612153,1.945028548,0.389014803
L,19556,Yordan Alvarez,-0.654150754,-0.874160477,-1.210270766,-0.726284377
L,19566,Nathaniel Lowe,0.294337154,0.002186693,-0.319646808,0.240249002
R,19599,Chas McCormick,1.721389845,1.694870492,0.643818219,1.662324057
R,19600,Bryan De La Cruz,-0.390839209,-0.074106128,-1.108403737,-0.433522178
L,19610,Keibert Ruiz,0.621758301,1.059719102,-0.443781788,0.468386972
R,19611,Vladimir Guerrero Jr.,-0.931185008,-1.100469069,-0.495408089,-0.868342021
R,19612,Bo Bichette,-0.070528912,-0.236614494,0.142824444,0.011213852
R,19627,Brent Rooker,1.280229009,1.244758386,1.422891631,1.548915977
R,19698,Edward Olivares,-0.671562393,-0.011772272,-1.951451797,-0.885841433
R,19709,Fernando Tatis Jr.,-2.0670693,-2.31580671,-2.200953393,-1.852342574
L,19734,Josh Rojas,-0.874684501,-0.450117966,-0.361918556,-0.676985004
L,19755,Shohei Ohtani,1.687355125,1.778077525,0.18592711,1.702442318
S,19858,Luis Rengifo,1.142794886,0.650967487,0.261279554,1.219182931
L,19890,Emmanuel Rivera,-0.083696212,-0.383849821,1.446720025,-0.254385676
R,19901,Gavin Sheets,-1.477564138,-1.463899793,-0.939367033,-1.553886951
L,19913,Jesus Sanchez,0.631848022,0.276059983,1.193332733,0.594813039
L,19918,Daulton Varsho,-0.861477962,-0.756784964,-0.509223111,-0.665554733
L,19950,Andres Gimenez,-0.322159303,-0.16914278,-0.982029642,-0.435261589
L,19953,Josh Lowe,2.236841838,2.489737507,0.043894284,2.086784031
R,20036,Isaac Paredes,1.434223056,1.17174376,2.064530205,1.205412571
R,20043,Luis Robert,-0.007533238,0.790982976,-1.58733729,-0.061415693
L,20123,Juan Soto,-0.734925774,-0.496924967,-0.32076204,-0.49616925
S,20126,Dylan Carlson,-0.754902179,-1.010924763,-1.484836513,-0.776818505
L,20202,Brandon Marsh,1.903931932,1.509942168,0.320058774,1.771652253
R,20308,Jake Meyers,0.484448667,0.419534026,-1.65487374,0.485209688
L,20325,Alex Kirilloff,1.583738592,0.908158408,1.350036951,1.57516871
L,20391,Luis Garcia,-0.277492722,-0.589829235,-0.763226096,-0.278454175
L,20454,Jazz Chisholm Jr.,-0.517202306,-0.53852464,0.263676198,-0.600324386
R,20503,William Contreras,0.302244052,-0.006663497,0.493919215,0.309016418
L,21454,Lars Nootbaar,0.571666466,0.125344193,2.399718251,0.281088496
R,21479,Nico Hoerner,-0.113533659,0.2067456,-0.784628492,-0.131803619
R,21523,Jonathan India,-0.372780701,-0.045713713,-0.874106244,-0.343284564
S,21534,Cal Raleigh,-0.143667368,-0.396498466,1.10051645,-0.414688291
R,21538,Nick Fortes,-1.586733458,-1.26639306,-0.123489242,-1.727652438
R,21558,Matt Vierling,0.779902301,0.539749864,0.760742037,0.841926248
L,21614,Kyle Isbel,0.602245889,0.805533903,0.130047576,0.500850339
R,21618,Alec Bohm,1.055341356,0.993341312,-0.437702602,1.014861073
L,21622,Jake McCarthy,-1.258818875,-1.360309718,-1.435392437,-1.444956148
R,21636,Jeremy Pena,-0.183421222,-0.753458646,0.129890013,-0.394911053
R,21897,Christopher Morel,0.656530304,0.959218916,-0.089279312,0.429479345
L,21987,Rodolfo Castro,-0.757529588,-1.274402726,0.220400553,-0.96358748
L,22117,Nick Pratto,0.802639813,0.000690151,3.642267536,0.692041766
L,22168,Akil Baddoo,0.311106388,0.440319815,-1.176717239,0.297536983
L,22197,MJ Melendez,-0.15086023,0.116971665,1.569134028,-0.346946269
L,22244,Jack Suwinski,0.756100738,0.559298388,0.592389218,0.53298438
L,22263,Nolan Gorman,0.966337017,1.114295643,-0.195640593,0.721963329
R,22275,Jake Burger,0.662041162,1.01308773,-1.514382919,0.447031016
L,22458,Taylor Walls,1.248241801,1.362412059,0.202213652,1.229736182
L,22558,Jarred Kelenic,2.278228876,1.86550362,4.813087256,2.297589321
