player_id,first_name,last_name,xera,xera_avg,xera_2023,z_scores_xera_avg,z_score_xera_2023,zscore_difference
676440, Tanner,Bibee,3.49,3.49,3.49,-0.9979318593648135,-1.031267730105748,-0.03333587074093447
571510, Matthew,Boyd,4.05,4.05,4.17,-0.2960970177690644,-0.3220625759068112,-0.025965558137746814
671096, Andrew,Abbott,3.44,3.44,3.44,-1.0605956845072915,-1.0834151679144937,-0.02281948340720219
656756, Jordan,Montgomery,4.096666666666667,4.096666666666667,4.23,-0.23761078096941834,-0.2594856505363162,-0.02187486956689788
593334, Domingo,Germán,4.1425,4.1425,4.29,-0.18016894125548044,-0.19690872516582217,-0.016739783910341727
519242, Chris,Sale,3.54,3.54,3.57,-0.9352680342223362,-0.9478318296117558,-0.012563795389419652
693433, Bryan,Woo,3.37,3.37,3.37,-1.1483250397067601,-1.156421580846737,-0.008096541139976932
663947, Tyler,Holton,3.34,3.34,3.34,-1.1859233347922469,-1.1877100435319845,-0.0017867087397376302
687330, Kevin,Kelly,3.32,3.32,3.32,-1.210988864849238,-1.2085690186554827,0.0024198461937552374
605288, Adrian,Houser,4.2325,4.2325,4.44,-0.06737405599902085,-0.040466411739585664,0.02690764425943519
666974, Yennier,Cano,3.2,3.2,3.2,-1.361382045191184,-1.3337228693964713,0.027659175794712665
660813, Brusdar,Graterol,3.2,3.2,3.2,-1.361382045191184,-1.3337228693964713,0.027659175794712665
605483, Blake,Snell,3.7225,3.7225,3.84,-0.7065450724522926,-0.6662356654445307,0.040309407007761866
664285, Framber,Valdez,3.9525,3.9525,4.12,-0.41829147679689543,-0.3742100137155564,0.044081463081339034
640455, Sean,Manaea,4.203333333333333,4.203333333333333,4.44,-0.10392795399879963,-0.040466411739585664,0.06346154225921397
666619, Gregory,Santos,3.01,3.01,3.01,-1.5995045807325996,-1.5318831330697043,0.06762144766289535
678394, Brayan,Bello,4.0,4.0,4.2,-0.3587608429115418,-0.2907741132215637,0.0679867296899781
554430, Zack,Wheeler,3.2625,3.2625,3.32,-1.283052263763087,-1.2085690186554827,0.07448324510760429
669330, Tyler,Wells,4.015000000000001,4.015000000000001,4.23,-0.33996169536879783,-0.2594856505363162,0.08047604483248161
666159, Matt,Manning,4.920000000000001,4.920000000000001,5.32,0.7942535397100479,0.8773284936943329,0.083074953984285
672282, Reid,Detmers,4.34,4.34,4.63,0.067353168057306,0.15769385193364627,0.09034068387634027
666129, Braxton,Garrett,4.34,4.34,4.63,0.067353168057306,0.15769385193364627,0.09034068387634027
657277, Logan,Webb,3.44,3.44,3.55,-1.0605956845072915,-0.968690804735254,0.09190487977203743
571945, Miles,Mikolas,4.543333333333334,4.543333333333334,4.88,0.3221860569700493,0.41843104097737316,0.09624498400732384
656427, Jack,Flaherty,4.276666666666666,4.276666666666666,4.56,-0.012021010456499183,0.08468743900140244,0.09670844945790162
664875, Justin,Lawrence,2.79,2.79,2.79,-1.8752254113595008,-1.7613318594281835,0.11389355193131734
663556, Shane,McClanahan,3.796666666666667,3.796666666666667,4.0,-0.613593731824284,-0.4993638644565454,0.1142298673677386
668678, Zac,Gallen,3.6574999999999998,3.6574999999999998,3.84,-0.788008045137514,-0.6662356654445307,0.12177237969298327
663903, Brady,Singer,4.430000000000001,4.430000000000001,4.78,0.1801480533137667,0.31413616535988276,0.13398811204611605
594835, Marco,Gonzales,4.762499999999999,4.762499999999999,5.18,0.5968624905112414,0.7313156678298453,0.13445317731860384
607259, Nick,Martinez,4.12,4.12,4.41,-0.20836766256959532,-0.07175487442483315,0.1366127881447622
669923, George,Kirby,3.48,3.48,3.65,-1.0104646243933093,-0.8643959291177632,0.1460686952755461
672710, Roansy,Contreras,4.895,4.895,5.36,0.7629216271388075,0.9190464439413293,0.15612481680252177
622491, Luis,Castillo,3.5,3.5,3.7,-0.9853990943363183,-0.8122484913090176,0.1731506030273008
642232, Ryan,Yarbrough,4.2925,4.2925,4.66,0.007822534171952947,0.18898231461889375,0.1811597804469408
489119, Wade,Miley,4.306666666666667,4.306666666666667,4.69,0.02557728462898772,0.22027077730414124,0.1946934926751535
656557, Tanner,Houck,3.66,3.66,3.92,-0.7848748538803897,-0.5827997649505381,0.2020750889298516
543243, Sonny,Gray,3.58,3.58,3.84,-0.885136974108354,-0.6662356654445307,0.2189013086638233
656302, Dylan,Cease,3.7675,3.7675,4.09,-0.6501476298240628,-0.4054984764008039,0.24464915342325894
605400, Aaron,Nola,3.5325,3.5325,3.81,-0.9446676079937076,-0.6975241281297778,0.24714347986392982
645261, Sandy,Alcantara,3.7649999999999997,3.7649999999999997,4.09,-0.6532808210811871,-0.4054984764008039,0.24778234468038324
657376, Clarke,Schmidt,3.87,3.87,4.23,-0.5216867882819836,-0.2594856505363162,0.26220113774566733
642547, Freddy,Peralta,3.2350000000000003,3.2350000000000003,3.47,-1.3175173675914493,-1.0521267052292462,0.2653906623622031
547179, Michael,Lorenzen,3.7266666666666666,3.7266666666666666,4.09,-0.7013230870237531,-0.4054984764008039,0.29582461062294924
668933, Graham,Ashcraft,4.55,4.55,5.08,0.3305412336557121,0.6270207922123548,0.29647955855664276
663776, Patrick,Sandoval,3.9466666666666668,3.9466666666666668,4.38,-0.4256022563968512,-0.10304333711008064,0.32255891928677055
605182, Mike,Clevinger,4.116666666666666,4.116666666666666,4.59,-0.21254525091242785,0.11597590168664992,0.32852115259907777
477132, Clayton,Kershaw,3.1975,3.1975,3.49,-1.3645152364483084,-1.031267730105748,0.3332475063425604
571578, Patrick,Corbin,5.6274999999999995,5.6274999999999995,6.42,1.680946665476105,2.024572125486731,0.3436254600106259
571760, Andrew,Heaney,4.2125,4.2125,4.72,-0.09243958605601138,0.2515592399893878,0.34399882604539916
630023, Yonny,Chirinos,5.285,5.285,6.1,1.251699463250134,1.69082852351076,0.43912906026062615
622072, Alex,Wood,4.266666666666667,4.266666666666667,4.91,-0.024553775484994444,0.44971950366262065,0.4742732791476151
675911, Spencer,Strider,2.7350000000000003,2.7350000000000003,3.08,-1.944155619016226,-1.4588767201374604,0.4852788988787655
453286, Max,Scherzer,2.9725,2.9725,3.37,-1.6465024495894574,-1.156421580846737,0.4900808687427203
434378, Justin,Verlander,2.8800000000000003,2.8800000000000003,3.32,-1.7624305261030406,-1.2085690186554827,0.5538615074475579
527048, Martín,Pérez,4.6850000000000005,4.6850000000000005,5.5,0.49973356154040255,1.065059269805816,0.5653257082654133
543037, Gerrit,Cole,3.115,3.115,3.62,-1.4679105479333958,-0.8956843918030102,0.5722261561303856
592866, Trevor,Williams,4.737500000000001,4.737500000000001,5.57,0.5655305779400044,1.1380656827380597,0.5725351047980554
605135, Chris,Bassitt,3.8449999999999998,3.8449999999999998,4.5,-0.5530187008532228,0.022110513630908386,0.5751292144841312
596295, Austin,Gomber,4.73,4.73,5.57,0.5561310041686324,1.1380656827380597,0.5819346785694274
592791, Jameson,Taillon,4.4366666666666665,4.4366666666666665,5.22,0.18850322999942948,0.7730336180768416,0.5845303880774121
448179, Rich,Hill,4.6866666666666665,4.6866666666666665,5.53,0.5018223557118177,1.0963477324910635,0.5945253767792459
660271, Shohei,Ohtani,3.28,3.28,3.84,-1.2611199249632201,-0.6662356654445307,0.5948842595186894
596133, Luke,Weaver,4.86,4.86,5.75,0.7190569495390741,1.3257964588495428,0.6067395093104687
628711, Julio,Urías,3.2075,3.2075,3.78,-1.3519824714198125,-0.7288125908150253,0.6231698806047873
542881, Tyler,Anderson,4.03,4.03,4.78,-0.3211625478260549,0.31413616535988276,0.6352987131859377
608337, Lucas,Giolito,3.9025,3.9025,4.63,-0.4809553019393734,0.15769385193364627,0.6386491538730197
543101, Anthony,DeSclafani,4.276666666666666,4.276666666666666,5.08,-0.012021010456499183,0.6270207922123548,0.639041802668854
608344, Cole,Irvin,5.153333333333333,5.153333333333333,6.14,1.086684723708276,1.7325464737577565,0.6458617500494805
502171, Alex,Cobb,3.94,3.94,4.69,-0.43395743308251505,0.22027077730414124,0.6542282103866564
607192, Tyler,Glasnow,3.3850000000000002,3.3850000000000002,4.03,-1.1295258921640166,-0.4680754017712979,0.6614504903927186
624133, Ranger,Suárez,3.725,3.725,4.44,-0.7034118811951687,-0.040466411739585664,0.6629454694555831
425844, Zack,Greinke,4.495,4.495,5.39,0.261611025998987,0.9503349066265758,0.6887238806275888
548389, Ross,Stripling,4.295,4.295,5.15,0.010955725429076206,0.7000272051445987,0.6890714797155225
664299, Cristian,Javier,3.896666666666667,3.896666666666667,4.69,-0.4882660815393286,0.22027077730414124,0.7085368588434698
669203, Corbin,Burnes,2.813333333333333,2.813333333333333,3.39,-1.8459822929596783,-1.1355626057232389,0.7104196872364394
661403, Emmanuel,Clase,2.34,2.34,2.88,-2.4391998376418,-1.667466471372442,0.7717333662693577
669456, Shane,Bieber,3.9875,3.9875,4.91,-0.3744267991971615,0.44971950366262065,0.8241463028597822
450203, Charlie,Morton,3.9,3.9,4.91,-0.4840884931964972,0.44971950366262065,0.9338079968591179
664062, Tony,Gonsolin,4.205,4.205,5.29,-0.10183915982738338,0.8460400310090854,0.9478791908364688
656731, Tylor,Megill,5.109999999999999,5.109999999999999,6.38,1.0323760752514612,1.9828541752397346,0.9504780999882734
607625, Seth,Lugo,3.4133333333333336,3.4133333333333336,4.35,-1.0940163912499459,-0.1343317997953281,0.9596845914546177
676477, Garrett,Whitlock,3.5366666666666666,3.5366666666666666,4.5,-0.9394456225651681,0.022110513630908386,0.9615561361960765
615698, Cal,Quantrill,4.7375,4.7375,6.06,0.5655305779400033,1.6491105732637639,1.0835799953237606
458681, Lance,Lynn,3.6425,3.6425,4.75,-0.8068071926802569,0.28284770267463527,1.0896548953548921
623167, Chris,Flexen,5.156666666666666,5.156666666666666,6.58,1.0908623120511072,2.191443926474716,1.100581614423609
471911, Carlos,Carrasco,5.0575,5.0575,6.5,0.9665790588518606,2.1080080259807237,1.141428967128863
446372, Corey,Kluber,4.736666666666667,4.736666666666667,6.18,0.5644861808542962,1.774264424004753,1.2097782431504567
592789, Noah,Syndergaard,4.636666666666667,4.636666666666667,6.1,0.4391585305693403,1.69082852351076,1.25166999294142
