last_name,first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Perez, Salvador,521692,2021,665,454,0.273,0.276,-0.003,0.544,0.566,-0.0219999999999999,0.359,0.374,-0.015
Fletcher, David,664058,2021,665,573,0.262,0.272,-0.01,0.324,0.32,0.004,0.273,0.28,-0.007
Devers, Rafael,646240,2021,664,452,0.279,0.291,-0.0119999999999999,0.538,0.567,-0.0289999999999999,0.373,0.394,-0.021
Riley, Austin,663586,2021,662,430,0.303,0.281,0.0219999999999999,0.531,0.511,0.02,0.379,0.366,0.013
Abreu, José,547989,2021,659,433,0.261,0.252,0.009,0.481,0.457,0.0239999999999999,0.354,0.349,0.005
Santana, Carlos,467793,2021,659,468,0.214,0.244,-0.03,0.342,0.421,-0.0789999999999999,0.294,0.335,-0.041
Soto, Juan,665742,2021,654,414,0.313,0.305,0.008,0.534,0.545,-0.011,0.42,0.429,-0.009
Arenado, Nolan,571448,2021,653,504,0.255,0.248,0.007,0.494,0.42,0.074,0.336,0.311,0.025
Swanson, Dansby,621020,2021,653,429,0.248,0.251,-0.003,0.449,0.455,-0.006,0.322,0.332,-0.01
France, Ty,664034,2021,650,471,0.291,0.27,0.0209999999999999,0.445,0.435,0.01,0.353,0.346,0.007
Turner, Trea,607208,2021,646,489,0.328,0.304,0.024,0.536,0.485,0.051,0.386,0.364,0.022
Reynolds, Bryan,668804,2021,646,444,0.302,0.294,0.008,0.522,0.523,-0.001,0.385,0.386,-0.001
Polanco, Jorge,593871,2021,644,476,0.269,0.267,0.002,0.503,0.488,0.015,0.349,0.348,0.001
Cronenworth, Jake,630105,2021,643,483,0.266,0.276,-0.01,0.46,0.443,0.017,0.341,0.344,-0.0029999999999999
Lowe, Nathaniel,663993,2021,642,398,0.264,0.236,0.028,0.415,0.401,0.0139999999999999,0.337,0.323,0.014
Correa, Carlos,621043,2021,640,445,0.279,0.296,-0.0169999999999999,0.485,0.482,0.003,0.364,0.373,-0.009
Machado, Manny,592518,2021,640,473,0.278,0.291,-0.0129999999999999,0.489,0.526,-0.037,0.35,0.376,-0.026
Frazier, Adam,624428,2021,639,512,0.305,0.288,0.017,0.411,0.376,0.0349999999999999,0.341,0.324,0.017
Ohtani, Shohei,660271,2021,639,350,0.257,0.266,-0.009,0.592,0.612,-0.02,0.393,0.408,-0.0149999999999999
Straw, Myles,664702,2021,638,448,0.271,0.256,0.015,0.348,0.333,0.0149999999999999,0.311,0.303,0.008
Hernández, César,514917,2021,637,438,0.232,0.243,-0.0109999999999999,0.386,0.386,0.0,0.302,0.311,-0.009
Alonso, Pete,624413,2021,637,438,0.262,0.271,-0.009,0.519,0.542,-0.023,0.363,0.377,-0.014
Ramírez, José,608070,2021,636,470,0.266,0.283,-0.0169999999999999,0.538,0.508,0.03,0.372,0.376,-0.004
Martinez, J.D.,502110,2021,634,425,0.286,0.288,-0.002,0.518,0.533,-0.015,0.364,0.374,-0.01
Judge, Aaron,592450,2021,633,397,0.287,0.308,-0.021,0.544,0.594,-0.0499999999999999,0.387,0.418,-0.0309999999999999
India, Jonathan,663697,2021,631,396,0.269,0.254,0.015,0.459,0.436,0.023,0.363,0.352,0.011
Candelario, Jeimer,600869,2021,626,422,0.271,0.278,-0.007,0.443,0.462,-0.019,0.344,0.356,-0.012
Canha, Mark,592192,2021,625,393,0.231,0.231,0.0,0.387,0.378,0.009,0.333,0.332,0.001
Chapman, Matt,656305,2021,622,336,0.21,0.209,0.001,0.403,0.423,-0.0199999999999999,0.311,0.321,-0.01
García, Adolis,666969,2021,622,391,0.243,0.22,0.0229999999999999,0.454,0.422,0.032,0.314,0.299,0.015
Carlson, Dylan,666185,2021,619,399,0.266,0.247,0.019,0.437,0.407,0.03,0.336,0.322,0.014
Moncada, Yoán,660162,2021,616,365,0.263,0.261,0.002,0.412,0.426,-0.014,0.347,0.353,-0.006
Gallo, Joey,608336,2021,616,286,0.199,0.202,-0.003,0.458,0.464,-0.006,0.348,0.354,-0.006
Mancini, Trey,641820,2021,616,414,0.255,0.266,-0.011,0.432,0.452,-0.02,0.326,0.341,-0.015
Lowe, Brandon,664040,2021,615,371,0.247,0.249,-0.002,0.523,0.499,0.024,0.363,0.36,0.003
Turner, Justin,457759,2021,612,441,0.278,0.27,0.008,0.471,0.47,0.001,0.358,0.359,-0.001
Gurriel, Yuli,493329,2021,605,474,0.319,0.271,0.0479999999999999,0.462,0.386,0.076,0.363,0.326,0.0369999999999999
Arozarena, Randy,668227,2021,604,364,0.274,0.222,0.052,0.459,0.369,0.09,0.35,0.304,0.0459999999999999
Verdugo, Alex,657077,2021,604,453,0.289,0.284,0.005,0.426,0.441,-0.015,0.334,0.34,-0.006
Bogaerts, Xander,593428,2021,603,423,0.295,0.28,0.0149999999999999,0.493,0.468,0.0249999999999999,0.368,0.359,0.009
Soler, Jorge,624585,2021,602,379,0.223,0.25,-0.0269999999999999,0.432,0.494,-0.062,0.323,0.359,-0.0359999999999999
Escobar, Eduardo,500871,2021,599,426,0.253,0.249,0.004,0.472,0.453,0.0189999999999999,0.334,0.328,0.006
Harper, Bryce,547180,2021,599,360,0.309,0.301,0.008,0.615,0.609,0.006,0.431,0.43,0.001
