Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Jeff McNeil","NYM",646,2576,52,319,261,27,0.06715839,0.11529503,0.13761864,0.32290616,0.29853322,0.36225681,0.43615186,0.3463198342672934,,122.82649279264464,1.2751541777979583,74.22851623009768,16.124260425567627,17.579373213578386,"Jeff McNeil",15362,643446
"Cody Bellinger","- - -",712,2854,133,423,400,70,0.10266293,0.21303434,0.22266244,0.28318584,0.25554675,0.33286615,0.47820919,0.34053008233481025,,116.15671246567562,15.97026298311539,76.20238369641892,6.12248033285141,17.545364904021227,"Cody Bellinger",15998,641355
"Ozzie Albies","ATL",684,2975,120,442,408,66,0.06521008,0.17344538,0.20989011,0.28975932,0.26886447,0.31998654,0.47875458,0.33718156840735236,,108.55475393975253,25.831014953786507,58.530049114522846,15.73937326669693,17.067426930959805,"Ozzie Albies",16556,645277
"Yordan Alvarez","HOU",452,1899,119,305,355,2,0.1195366,0.22011585,0.28842621,0.32313231,0.2927128,0.38388626,0.58113901,0.4028446819236938,,161.93547179574978,-1.9359105986077338,138.40694397831606,-36.421373069286346,16.860594976126805,"Yordan Alvarez",19556,670541
"Starling Marte","- - -",662,2814,82,417,327,157,0.05579247,0.18088131,0.16433566,0.32865028,0.28632479,0.34223647,0.45066045,0.3410857125973114,,116.30730821875133,23.787769098300487,80.34338236337223,-5.786982968449593,16.778246974310285,"Starling Marte",9241,516782
"DJ LeMahieu","- - -",706,3108,85,440,328,22,0.09137709,0.1463964,0.14665708,0.31285904,0.28504673,0.35244845,0.43170381,0.33945967741550936,,114.34093648804107,-12.805083857150748,42.19921182593226,22.196186751127243,16.696062219468782,"DJ LeMahieu",9874,518934
"Ketel Marte","ARI",692,2872,95,385,338,30,0.08948468,0.1514624,0.20054411,0.30776699,0.28332686,0.3517938,0.48387097,0.35517289204310504,,122.23057232859018,-1.9392282182816416,79.9016680476297,-8.807015538215637,16.536469801230055,"Ketel Marte",13613,606466
"Anthony Rendon","- - -",482,2100,80,296,329,11,0.11904762,0.14380952,0.21181717,0.30340988,0.28762542,0.37952381,0.49944259,0.37208295769835686,,132.7825313531506,3.8307641248684376,91.47510699620517,3.581348732113838,16.30242008110469,"Anthony Rendon",12861,543685
"Whit Merrifield","- - -",803,3477,69,458,354,156,0.06471096,0.15703192,0.13471178,0.32223498,0.285401,0.33323741,0.42011278,0.3240696388979896,,102.86033748642205,21.158223326550797,33.956018874140966,5.594718714244664,16.192968248418016,"Whit Merrifield",11281,593160
"Eugenio Suárez","- - -",784,3264,178,394,494,8,0.10784314,0.28645833,0.23514851,0.2907842,0.24257426,0.33394608,0.47772277,0.3452812747578486,,116.54789009594724,-19.124160305364057,46.48836185337656,3.9318264201283455,16.059984943531095,"Eugenio Suarez",12552,553993
