player_id,name,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,est_woba,est_woba_minus_woba_diff,avg_woba,woba_2023,z_scores_avg_woba,zscore_difference
542932, Jon Berti,2020.6666666666667,320.6666666666667,209.66666666666666,0.241,0.24233333333333332,-0.0013333333333333333,0.35233333333333333,0.35366666666666663,-0.0013333333333333,0.308,-0.006000000000000001,0.302,0.296,-0.8466057171643155,0.0836209802591874
543063, Brandon Crawford,2020.0,540.25,374.25,0.25275000000000003,0.24125,0.0115,0.40249999999999997,0.4005,0.001999999999999975,0.3135,-0.00024999999999997463,0.31325000000000003,0.256,-0.48307852494679,-1.3802257566412544
543068, C.J. Cron,2020.0,559.5,371.75,0.261,0.25625,0.00475,0.49,0.48675,0.0032499999999999994,0.34875,-0.0012499999999999742,0.34750000000000003,0.317,0.6236598158043397,-0.8089767917509361
543228, Yan Gomes,2020.0,365.25,256.25,0.244,0.249,-0.005000000000000001,0.406,0.42225,-0.016249999999999976,0.313,-0.012249999999999976,0.30075,0.319,-0.8869976274107063,0.7566966286982558
543257, Robbie Grossman,2020.0,523.75,338.0,0.24025,0.237,0.003249999999999975,0.3645,0.359,0.005499999999999975,0.31425000000000003,-0.0012500000000000245,0.313,0.306,-0.4911569069960692,0.0032520562616704662
543760, Marcus Semien,2020.0,724.5,530.5,0.26325,0.25225,0.010999999999999975,0.46925,0.432,0.03724999999999998,0.3275,0.013749999999999974,0.34125,0.349,0.4217002645723807,0.27323839522735566
543807, George Springer,2020.0,524.5,358.5,0.272,0.262,0.01,0.513,0.49525,0.017749999999999974,0.36225,0.006,0.36825,0.317,1.2941655258944398,-1.4794825018410362
543877, Christian Vazquez,2020.0,428.5,327.25,0.25375000000000003,0.24825,0.0055,0.37775,0.373,0.0047499999999999504,0.29275,0.0002499999999999742,0.293,0.27,-1.1374274709383352,-0.34076497001068806
543939, Kolten Wong,2020.0,486.25,355.5,0.26425,0.2395,0.02474999999999995,0.422,0.35525,0.06674999999999998,0.30125,0.029,0.33025000000000004,0.216,0.06625145440413616,-3.029875280675098
545121, Ildemaro Vargas,2020.5,216.5,183.0,0.266,0.244,0.022,0.40249999999999997,0.33799999999999997,0.06449999999999995,0.272,0.02899999999999995,0.301,0.279,-0.8789192453614288,-0.3517012980339379
