"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","playerid","mlbamid"
"Nick Pivetta","BOS","27","26","1","92","73","432.0","9.79","3.67","1.42",".288","73.9%","37.6%","13.5%","94.3","4.46","","4.36","4.19","4.4","15454","601713"
"Rich Hill","- - -","22","27","0","82","81","408.1","8.18","3.11","1.19",".300","71.5%","37.6%","11.2%","88.4","4.39","","4.31","4.53","4.4","4806","448179"
"Aaron Civale","- - -","22","14","0","56","56","307.2","7.63","2.22","1.23",".269","73.7%","42.0%","12.2%","91.4","3.83","","4.13","4.18","4.2","19479","650644"
"Alex Wood","SFG","23","20","0","71","63","340.2","9.01","2.69","1.06",".306","68.9%","48.2%","13.2%","90.6","4.54","","3.90","3.81","4.1","13781","622072"
"Cole Irvin","- - -","20","31","0","79","71","412.1","6.61","2.10","1.18",".292","70.9%","37.5%","10.3%","91.1","4.21","","4.23","4.59","4.0","19244","608344"
"Johnny Cueto","- - -","15","20","0","53","50","300.0","6.69","2.10","1.11",".299","74.1%","39.8%","10.3%","91.8","3.81","","4.08","4.38","3.8","6893","456501"
"Zack Greinke","- - -","16","27","0","78","77","418.2","5.72","1.68","1.44",".287","71.9%","43.0%","14.1%","89.3","4.36","","4.60","4.37","3.4","1943","425844"
"Adrian Houser","MIL","20","19","0","66","61","323.0","6.58","3.82","0.81",".288","69.9%","51.8%","10.8%","94.0","3.98","","4.27","4.45","3.4","12718","605288"
"Austin Gomber","COL","23","25","0","80","64","365.0","7.13","2.74","1.53",".297","67.8%","43.0%","14.9%","91.2","5.15","","4.79","4.43","3.4","16561","596295"
"Ross Stripling","- - -","15","16","1","74","54","308.0","7.69","1.78","1.52",".275","74.8%","41.5%","14.5%","91.9","4.09","","4.31","4.00","3.3","13273","548389"
"Jose Urquidy","HOU","23","14","0","57","56","307.1","7.47","2.05","1.55",".260","77.3%","34.8%","12.8%","93.2","4.01","","4.51","4.42","3.1","18413","664353"
"Andrew Heaney","- - -","21","19","0","69","60","316.2","10.77","3.04","1.76",".294","73.2%","34.9%","16.8%","92.4","4.60","","4.58","3.96","3.0","15423","571760"
"Kyle Hendricks","CHC","22","19","0","63","63","351.2","6.50","2.10","1.46",".287","71.4%","42.3%","13.7%","87.4","4.58","","4.70","4.55","2.7","12049","543294"
"Chris Flexen","- - -","23","20","2","84","60","373.0","6.25","2.85","1.28",".297","75.3%","38.6%","11.0%","92.4","4.29","","4.63","4.87","2.7","13896","623167"
"Drew Smyly","- - -","26","20","0","75","66","351.2","8.11","2.74","1.69",".289","75.5%","37.8%","14.9%","92.1","4.35","","4.85","4.46","2.3","11760","592767"
"Eric Lauer","MIL","22","17","0","62","57","320.0","8.86","3.38","1.58",".259","78.2%","33.3%","14.4%","92.7","3.74","","4.62","4.29","2.2","19316","641778"
"Michael Kopech","CHW","14","22","0","91","51","300.2","9.70","4.58","1.47",".247","78.9%","36.1%","13.3%","95.8","3.92","","4.80","4.64","2.2","17282","656629"
"Jordan Lyles","- - -","25","37","0","86","84","485.1","7.01","2.65","1.63",".295","70.1%","37.6%","13.8%","92.4","5.14","","4.97","4.75","2.1","7593","543475"
"Dean Kremer","BAL","19","18","0","59","58","311.0","7.35","2.89","1.53",".296","75.0%","36.8%","13.4%","93.8","4.51","","4.84","4.66","1.9","19350","665152"
"James Kaprielian","OAK","15","20","0","64","58","314.1","7.96","3.75","1.26",".278","71.7%","35.3%","10.3%","93.5","4.58","","4.61","4.98","1.8","18331","621076"
"Patrick Corbin","WSN","22","46","0","86","86","461.2","7.06","2.98","1.72",".327","68.2%","45.6%","18.3%","92.2","5.69","","5.17","4.38","1.8","9323","571578"
"Yusei Kikuchi","- - -","22","20","1","84","72","380.0","9.76","3.67","1.71",".290","77.0%","44.7%","19.9%","95.2","4.33","","4.85","3.94","1.7","20633","579328"
"Brad Keller","KCR","17","30","1","70","57","316.2","7.19","4.58","1.08",".325","69.3%","51.0%","13.0%","94.4","5.12","","4.76","4.69","1.7","15734","641745"
"Madison Bumgarner","ARI","14","28","0","60","60","321.2","6.88","2.88","1.48",".291","67.8%","35.4%","12.1%","90.7","5.06","","4.92","4.98","1.6","5524","518516"
"Marco Gonzales","SEA","24","22","0","67","67","376.1","5.86","2.63","1.53",".269","74.6%","38.3%","12.7%","88.7","4.21","","5.04","4.99","1.2","15467","594835"
"Josiah Gray","- - -","16","21","0","65","64","346.0","8.84","4.11","1.90",".270","79.5%","35.3%","16.1%","94.3","4.63","","5.48","4.83","1.1","24580","680686"
"Zach Davies","- - -","9","22","0","71","71","339.2","6.94","4.08","1.40",".291","67.8%","43.2%","14.2%","89.7","5.38","","5.07","4.82","1.0","13183","605200"
