Season,Name,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+,playerId
2023,"Eugenio Suarez","SEA",549,0.10018215,0.30236794,0.3313253,0.23404255,0.32664234,0.3893617,0.71600404,0.15531915,0.31186441,65.21381419480142,-1.479255561229618,0.3150828599277204,104.36989289661831,12552
2023,"George Springer","TOR",526,0.08365019,0.18250951,0.45833333,0.25738397,0.32571429,0.39662447,0.72233876,0.1392405,0.29315068,63.28462858938268,-0.6143781349749268,0.31692446799505325,101.48885594092816,12856
2023,"Francisco Lindor","NYM",542,0.09594096,0.20848708,0.46017699,0.25527426,0.33826248,0.47046414,0.80872662,0.21518988,0.28571429,78.94982730866197,13.107124562270663,0.34750973594387,124.39426541174362,12916
2023,"Brandon Nimmo","NYM",546,0.11355311,0.21794872,0.5210084,0.26495726,0.36029412,0.44017094,0.80046506,0.17521368,0.31641791,80.41375481415079,14.085128062251066,0.3494570505093126,125.69958712109293,12927
2023,"Javier Baez","DET",460,0.04130435,0.22826087,0.18095238,0.22325581,0.26579521,0.32790698,0.59370219,0.10465117,0.275,33.77906513185876,-22.102195501609867,0.260364577920868,62.79743201028176,12979
2023,"Teoscar Hernandez","SEA",531,0.05461394,0.30696798,0.17791411,0.2586558,0.30508475,0.43380855,0.7388933,0.17515275,0.34394904,63.387800721463,-1.1186110097801334,0.31579207799385084,104.86256801406162,13066
2023,"Josh Bell","2 Tms",478,0.10878661,0.21548117,0.50485437,0.24586288,0.32845188,0.42553191,0.75398379,0.17966903,0.28289474,61.69621470244152,3.6282960441849865,0.3275325224584503,107.5171407437033,13145
2023,"Orlando Arcia","ATL",402,0.07711443,0.18905473,0.40789474,0.27717391,0.3358209,0.4375,0.7733209,0.16032609,0.31541219,54.63624099459098,5.800878440994489,0.3357431643934392,108.16506158610548,13185
2023,"Max Muncy","LAD",429,0.15850816,0.26806527,0.59130435,0.19546742,0.33100233,0.47025496,0.80125729,0.27478754,0.18867925,60.49760287944969,8.382253288671343,0.34190705930485443,116.40884111661369,13301
2023,"Christian Walker","ARI",521,0.09980806,0.19577735,0.50980392,0.27173913,0.34740883,0.52826087,0.8756697,0.25652174,0.28955224,85.17601201269044,21.88441029521837,0.36901124299262944,131.1182318356306,13419
