Name,player_id,bat_side
 Lenyn Sosa,672820,R
 Juan Soto,665742,L
 George Springer,543807,R
 Jacob Stallings,607732,R
 Giancarlo Stanton,519317,R
 Spencer Steer,668715,R
 Tyler Stephenson,663886,R
 DJ Stewart,621466,L
 Trevor Story,596115,R
 Bryson Stott,681082,L
 Myles Straw,664702,R
 Garrett Stubbs,596117,L
 Jack Suwinski,669261,L
 Seiya Suzuki,673548,R
 Eugenio Suarez,553993,R
 Dansby Swanson,621020,R
 Gary Sanchez,596142,R
 Jesus Sanchez,660821,L
 Raimel Tapia,606132,L
 Fernando Tatis Jr.,665487,R
 Mike Tauchman,643565,L
 Leody Taveras,665750,L
 Chris Taylor,621035,R
 Michael A. Taylor,572191,R
 Samad Taylor,669392,R
 Tyrone Taylor,621438,R
 Rowdy Tellez,642133,L
 Matt Thaiss,642136,L
 Alek Thomas,677950,L
 Lane Thomas,657041,R
 Bubba Thompson,669352,R
 Trayce Thompson,572204,R
 Michael Toglia,669911,L
 Spencer Torkelson,679529,R
 Gleyber Torres,650402,R
 Ezequiel Tovar,678662,R
 Alan Trejo,676701,R
 Jose Trevino,624431,R
 Jared Triolo,669707,R
 Mike Trout,545361,R
 Kyle Tucker,663656,L
 Brice Turang,668930,L
 Justin Turner,457759,R
 Trea Turner,607208,R
 Gio Urshela,570482,R
 Luis Urias,649966,R
 Ramon Urias,602104,R
 Enmanuel Valdez,665839,L
 Ildemaro Vargas,545121,L
 Miguel Vargas,678246,R
 Daulton Varsho,662139,L
 Andrew Vaughn,683734,R
 Terrin Vavra,679631,L
 Nelson Velazquez,676369,R
 Alex Verdugo,657077,L
 Mark Vientos,668901,R
 Matt Vierling,663837,R
 David Villar,681584,R
 Daniel Vogelbach,596129,L
 Anthony Volpe,683011,R
 Joey Votto,458015,L
 Christian Vazquez,543877,R
 LaMonte Wade Jr.,664774,L
 Tyler Wade,642180,L
 Christian Walker,572233,R
 Jordan Walker,691023,R
 Chad Wallach,595453,R
 Matt Wallner,670242,L
 Taylor Walls,670764,L
 Taylor Ward,621493,R
 Drew Waters,671221,L
 Joey Wendle,621563,L
 Jordan Westburg,676059,R
 Joey Wiemer,686894,R
 Alika Williams,675961,R
 Patrick Wisdom,621550,R
 Brett Wisely,689172,L
 Bobby Witt Jr.,677951,R
 Connor Wong,657136,R
 Kolten Wong,543939,L
 Austin Wynns,642851,R
 Mike Yastrzemski,573262,L
 Christian Yelich,592885,L
 Masataka Yoshida,807799,L
 Seby Zavala,664874,R
 Mike Zunino,572287,R
 Travis d'Arnaud,518595,R
